handle,platform,followers,average_likes,average_comments,average_views,gcc_audience_pct,saudi_audience_pct,uae_audience_pct,female_audience_pct,beauty_content_pct,fashion_content_pct,luxury_content_pct,lifestyle_content_pct,sponsored_content_pct,content_consistency_score,comment_quality_score,success,is_synthetic
@synthetic_creator_0069,tiktok,213295,9278,381,22830,40.4,25.7,7.9,65.6,60.9,42.4,6.7,5.7,5.8,0.843,0.355,0,True
@synthetic_creator_0070,snapchat,58056,3207,130,16290,42.4,23.3,9.7,64.1,30.1,29.9,0.0,3.8,1.9,0.717,0.224,0,True
@synthetic_creator_0071,youtube,68875,2051,106,16138,100.0,46.7,17.2,35.9,17.0,2.7,11.5,9.5,0.2,0.743,0.83,1,True
@synthetic_creator_0072,tiktok,89023,2975,49,12890,22.0,8.8,4.7,66.1,41.8,32.1,9.0,9.0,29.5,0.97,0.679,1,True
@synthetic_creator_0073,instagram,487279,25885,511,118823,65.6,39.3,11.0,77.7,13.7,18.3,21.8,21.9,0.4,0.582,0.613,1,True
@synthetic_creator_0074,instagram,318351,6477,222,70816,61.2,41.5,4.0,61.5,40.7,18.7,30.1,5.1,5.0,0.883,0.797,1,True
@synthetic_creator_0075,instagram,614511,54379,663,201922,63.3,28.7,15.6,82.6,38.3,13.5,14.6,11.4,46.2,0.838,0.784,1,True
@synthetic_creator_0076,instagram,160700,14294,439,61804,85.9,30.4,11.2,82.0,26.2,33.1,3.0,9.5,1.0,0.88,0.536,1,True
@synthetic_creator_0077,youtube,324567,16777,828,31072,85.4,29.3,30.2,55.4,41.3,13.0,16.5,23.1,0.8,0.78,0.528,1,True
@synthetic_creator_0078,instagram,568472,49324,859,204291,43.7,13.2,19.0,88.9,0.2,8.5,10.1,13.5,3.5,0.875,0.756,1,True
@synthetic_creator_0079,youtube,185124,15326,505,54922,59.9,35.8,12.9,65.7,33.3,42.0,7.6,25.5,48.3,0.805,0.801,1,True
@synthetic_creator_0080,instagram,464227,2921,173,135737,8.4,5.8,1.6,65.7,20.7,22.3,1.4,3.5,17.7,0.976,0.716,0,True
@synthetic_creator_0081,instagram,121259,675,23,21948,57.5,40.1,3.5,66.5,87.2,22.8,5.4,14.5,11.5,0.54,0.475,0,True
@synthetic_creator_0082,youtube,173569,1815,63,29570,35.2,21.6,3.2,66.0,33.1,35.4,8.2,9.2,32.3,0.941,0.336,0,True
@synthetic_creator_0083,instagram,169721,13303,504,8821,50.3,18.4,19.8,25.5,18.1,15.0,18.0,2.7,3.9,0.893,0.788,1,True
@synthetic_creator_0084,instagram,63894,1631,31,25159,12.9,8.9,2.7,62.2,2.4,18.0,15.1,14.3,16.6,0.506,0.655,0,True
@synthetic_creator_0085,instagram,481358,6522,113,126249,65.1,28.1,23.4,44.5,56.1,29.6,28.3,32.3,8.6,0.91,0.726,1,True
@synthetic_creator_0086,instagram,152774,2203,96,29151,12.6,5.5,4.3,89.4,23.0,1.9,16.7,6.5,3.8,0.596,0.295,0,True
@synthetic_creator_0087,instagram,272390,10231,304,65460,58.7,33.8,15.6,88.8,14.2,28.3,14.2,13.7,12.0,0.756,0.672,0,True
@synthetic_creator_0088,tiktok,477775,27047,662,30665,24.3,7.8,10.7,77.8,36.7,13.7,6.9,1.9,22.2,0.729,0.505,0,True
@synthetic_creator_0089,youtube,458555,8950,103,50797,33.8,21.3,7.9,61.4,43.0,37.8,0.0,0.4,10.2,0.559,0.91,0,True
@synthetic_creator_0090,tiktok,596277,27175,1421,159907,83.9,58.6,16.2,49.9,42.7,33.2,4.3,7.1,6.5,0.738,0.551,1,True
@synthetic_creator_0091,youtube,238426,15529,180,54835,69.7,42.5,6.6,55.1,30.4,31.2,3.0,10.5,1.6,0.506,0.614,1,True
@synthetic_creator_0092,youtube,161464,10254,487,52552,83.7,51.3,7.7,94.1,33.2,0.9,0.0,10.9,13.4,0.742,0.864,1,True
@synthetic_creator_0093,instagram,243857,11878,345,68416,94.0,42.9,21.3,54.6,34.6,23.4,0.0,12.7,5.3,0.917,0.315,1,True
@synthetic_creator_0094,tiktok,35425,4960,198,9228,35.7,11.6,12.4,29.7,36.7,7.3,26.0,0.0,6.6,0.685,0.446,1,True
@synthetic_creator_0095,tiktok,47262,1284,28,15848,92.5,57.1,23.3,80.5,38.5,24.4,13.7,8.7,6.6,0.799,0.931,1,True
@synthetic_creator_0096,instagram,54872,756,13,4054,18.4,9.9,3.4,87.5,51.9,0.0,6.2,20.0,9.6,0.866,0.621,0,True
@synthetic_creator_0097,instagram,81089,5898,216,23662,73.7,48.9,9.0,89.9,31.1,1.9,14.0,1.4,8.5,0.919,0.848,1,True
@synthetic_creator_0098,tiktok,433535,35548,1591,130258,42.7,14.8,18.7,80.6,13.7,42.8,0.0,11.4,28.9,0.363,0.518,1,True
@synthetic_creator_0099,snapchat,90528,743,14,13244,31.7,13.4,6.4,83.0,27.1,30.5,12.8,17.9,11.5,0.557,0.509,0,True
@synthetic_creator_0100,snapchat,170451,2874,91,20194,70.4,31.3,27.1,65.8,45.1,19.7,22.8,7.2,17.7,0.7,0.551,1,True
@synthetic_creator_0101,instagram,1275787,50888,1640,159279,78.6,45.1,10.3,33.9,0.0,11.4,8.8,18.4,12.8,0.564,0.607,1,True
@synthetic_creator_0102,tiktok,174989,17813,370,20884,77.9,47.9,12.5,65.4,0.0,8.7,0.0,0.0,0.5,0.761,0.604,1,True
@synthetic_creator_0103,instagram,650189,7467,285,151704,60.4,41.3,8.4,74.3,48.4,28.0,5.9,23.9,4.7,0.756,0.811,1,True
@synthetic_creator_0104,youtube,87523,2512,43,8530,58.3,24.4,12.9,63.0,60.4,19.8,22.8,18.7,2.8,0.54,0.323,0,True
@synthetic_creator_0105,tiktok,209708,18350,651,58875,68.2,33.9,6.9,62.3,4.7,48.2,12.6,15.6,12.1,0.723,0.295,0,True
@synthetic_creator_0106,snapchat,85817,4548,71,7446,62.6,19.5,14.7,50.5,32.0,22.2,0.0,26.2,42.4,0.689,0.528,0,True
@synthetic_creator_0107,snapchat,178645,2813,96,10613,68.5,27.5,16.5,50.0,22.0,25.9,33.7,11.7,2.1,0.913,0.604,1,True
@synthetic_creator_0108,instagram,735547,27754,709,118975,60.1,27.0,12.8,92.6,24.8,4.2,0.0,8.8,8.0,0.558,0.979,0,True
@synthetic_creator_0109,snapchat,33766,1895,61,3955,76.1,40.9,23.6,93.1,36.1,19.6,7.6,28.7,11.6,0.599,0.838,1,True
@synthetic_creator_0110,tiktok,451941,31011,982,178982,14.3,7.0,1.7,65.0,4.1,27.7,0.0,33.4,5.9,0.84,0.962,0,True
@synthetic_creator_0111,instagram,356925,35842,1985,55697,51.7,23.1,12.4,69.2,7.9,19.4,0.0,8.1,14.3,0.662,0.668,0,True
@synthetic_creator_0112,instagram,131533,7507,258,16799,20.4,11.2,2.0,50.3,24.0,17.7,5.5,13.9,6.7,0.418,0.95,1,True
@synthetic_creator_0113,tiktok,47321,1338,68,5625,61.9,39.1,17.3,74.6,27.1,29.9,16.4,25.5,8.2,0.496,0.947,1,True
@synthetic_creator_0114,instagram,292598,13033,277,52915,96.0,38.1,39.1,91.4,7.5,47.7,22.9,14.2,22.0,0.659,0.76,1,True
@synthetic_creator_0115,instagram,142145,6882,189,37248,43.1,18.9,19.2,42.1,45.8,27.2,6.1,20.9,10.1,0.895,0.396,0,True
@synthetic_creator_0116,tiktok,354765,4386,60,114830,58.2,33.9,18.1,72.0,21.6,42.2,0.0,22.8,18.5,0.671,0.284,0,True
@synthetic_creator_0117,instagram,275466,22125,686,48923,73.9,45.2,11.2,73.1,21.6,34.3,14.8,9.4,11.4,0.373,0.766,1,True
@synthetic_creator_0118,instagram,1834228,54525,2368,493572,3.3,2.1,0.8,72.9,35.7,41.3,15.1,19.2,3.7,0.766,0.588,0,True
@synthetic_creator_0119,tiktok,201344,16652,864,44038,41.9,16.1,9.9,89.6,27.4,15.9,12.4,14.9,6.2,0.684,0.677,0,True
@synthetic_creator_0120,instagram,78574,3707,141,27208,64.1,33.1,22.8,95.5,46.7,21.9,12.8,2.8,13.2,0.968,0.479,1,True
@synthetic_creator_0121,tiktok,332744,2483,104,82908,0.0,0.0,0.0,61.5,11.3,22.0,8.9,5.1,8.1,0.726,0.926,0,True
@synthetic_creator_0122,instagram,349408,11894,224,52922,30.6,14.0,7.1,75.1,2.1,33.2,11.0,8.5,1.1,0.885,0.721,0,True
@synthetic_creator_0123,youtube,1370964,18078,214,406155,82.5,38.9,32.6,66.3,23.8,36.9,8.2,24.3,13.8,0.781,0.536,1,True
@synthetic_creator_0124,instagram,730974,8048,399,246354,80.1,55.6,17.2,55.5,31.2,26.9,20.7,24.6,16.8,0.615,0.638,0,True
@synthetic_creator_0125,youtube,411780,15588,286,87669,64.4,22.2,32.9,69.1,5.2,38.2,32.3,22.5,3.5,0.596,0.66,0,True
@synthetic_creator_0126,tiktok,1553410,50879,740,614403,77.1,44.9,7.7,75.1,2.2,16.6,11.8,19.4,34.8,0.669,0.64,0,True
@synthetic_creator_0127,youtube,64439,4074,231,23048,60.4,38.6,7.5,68.3,33.6,38.3,9.9,19.1,10.0,0.474,0.918,0,True
@synthetic_creator_0128,instagram,124529,3485,202,14810,68.9,24.8,16.8,51.8,14.8,40.2,12.6,17.8,1.7,0.797,0.563,1,True
@synthetic_creator_0129,instagram,88265,1802,73,28718,47.1,27.6,8.9,58.0,0.9,35.2,3.4,19.1,3.4,0.531,0.769,0,True
@synthetic_creator_0130,instagram,168085,4969,143,43758,57.9,28.2,14.3,58.2,49.3,27.0,17.6,19.8,10.9,0.947,0.426,0,True
@synthetic_creator_0131,instagram,51429,2432,125,12198,39.2,25.1,5.3,52.4,17.4,35.7,14.4,1.0,1.8,0.569,0.415,0,True
@synthetic_creator_0132,instagram,575032,8540,172,132187,86.6,57.4,19.7,69.7,53.0,11.6,5.8,7.1,8.7,0.722,0.801,1,True
@synthetic_creator_0133,tiktok,205527,13822,434,71666,93.0,60.4,10.9,71.3,30.6,28.0,19.0,4.7,31.1,0.768,0.962,1,True
@synthetic_creator_0134,instagram,45937,1595,44,12118,89.5,29.2,37.3,79.7,35.9,29.5,10.2,26.1,44.6,0.795,0.838,1,True
@synthetic_creator_0135,instagram,79324,1358,75,18894,44.8,27.0,12.7,52.1,25.8,5.1,0.3,31.5,27.0,0.398,0.854,1,True
@synthetic_creator_0136,instagram,390903,8384,469,26229,31.2,20.8,5.8,56.3,0.0,32.1,13.5,0.0,8.4,0.701,0.763,0,True
@synthetic_creator_0137,tiktok,733623,13294,565,151791,86.9,47.7,16.2,88.3,7.3,6.3,12.4,30.6,25.4,0.506,0.49,1,True
@synthetic_creator_0138,tiktok,2946348,81343,1263,1083709,68.6,37.1,9.9,62.5,27.5,18.6,19.6,15.9,17.6,0.792,0.657,0,True
@synthetic_creator_0139,instagram,8856258,108842,3712,2648976,63.2,20.1,12.1,65.5,37.3,25.6,18.3,25.1,20.9,0.763,0.677,0,True
@synthetic_creator_0140,instagram,441216,17720,394,29929,39.2,25.2,9.1,62.4,0.0,14.0,8.9,20.1,15.4,0.755,0.89,1,True
@synthetic_creator_0141,instagram,81842,2380,129,29413,65.6,20.9,21.5,82.0,28.9,26.2,5.3,29.4,3.5,0.65,0.561,1,True
@synthetic_creator_0142,tiktok,20775,189,3,7049,27.9,11.9,3.6,82.6,7.6,26.0,10.0,17.1,17.8,0.641,0.833,0,True
@synthetic_creator_0143,tiktok,369998,13536,172,89295,70.9,47.5,18.5,81.7,34.7,12.7,13.6,1.4,15.5,0.97,0.683,1,True
@synthetic_creator_0144,instagram,101161,2666,120,5851,89.5,60.8,17.3,65.4,29.6,33.5,14.8,13.9,20.1,0.804,0.278,0,True
@synthetic_creator_0145,instagram,163010,9950,325,40239,95.8,66.7,20.5,51.9,44.9,13.5,13.0,20.2,2.2,0.611,0.63,1,True
@synthetic_creator_0146,tiktok,128731,1002,52,8896,72.7,35.7,17.1,93.9,51.3,59.3,9.1,12.8,8.2,0.424,0.524,0,True
@synthetic_creator_0147,tiktok,226624,9125,125,36743,20.4,7.6,9.9,77.8,39.2,23.4,20.0,21.6,2.3,0.761,0.761,0,True
@synthetic_creator_0148,instagram,964317,11941,597,260479,59.9,29.7,9.7,58.2,47.2,7.4,3.3,14.3,1.3,0.443,0.685,0,True
@synthetic_creator_0149,instagram,323986,2649,31,119719,100.0,34.1,20.5,86.4,23.0,10.2,34.8,9.0,0.8,0.687,0.815,1,True
@synthetic_creator_0150,instagram,221823,8721,99,38869,33.3,21.6,8.6,57.0,86.5,42.2,17.6,4.1,30.5,0.728,0.566,1,True
@synthetic_creator_0151,tiktok,77436,2417,79,27180,53.5,28.1,18.7,86.2,5.6,18.9,0.0,11.1,13.6,0.715,0.425,0,True
@synthetic_creator_0152,instagram,35967,2497,52,13359,90.3,41.7,24.3,87.2,19.4,4.5,11.9,17.0,13.5,0.774,0.784,1,True
@synthetic_creator_0153,tiktok,149706,2878,114,8587,70.4,23.4,13.0,51.2,48.0,37.8,17.7,0.0,79.8,0.623,0.901,1,True
@synthetic_creator_0154,tiktok,251566,17196,194,33659,100.0,46.2,20.6,73.7,45.1,18.8,6.5,7.2,3.2,0.923,0.932,1,True
@synthetic_creator_0155,youtube,2238946,160103,1884,668217,36.7,23.7,8.5,76.7,39.7,34.8,0.0,0.0,9.6,0.805,0.898,1,True
@synthetic_creator_0156,snapchat,313742,5549,257,98795,30.3,17.6,9.0,100.0,43.5,39.0,0.0,8.8,11.8,0.705,0.296,0,True
@synthetic_creator_0157,instagram,872647,52110,1068,163486,85.6,28.5,23.3,53.9,0.0,29.1,15.4,27.0,21.2,0.701,0.754,1,True
@synthetic_creator_0158,tiktok,147391,4153,177,41249,25.1,9.1,3.8,86.5,61.8,60.9,0.0,3.1,7.2,0.643,0.842,0,True
@synthetic_creator_0159,tiktok,64735,1566,74,17106,50.1,22.9,16.3,65.3,25.9,0.0,0.0,22.0,12.0,0.583,0.59,1,True
@synthetic_creator_0160,youtube,84276,2798,36,26034,53.4,18.2,22.7,46.4,54.9,12.7,15.4,43.5,6.5,0.934,0.919,0,True
@synthetic_creator_0161,instagram,112389,2663,129,33888,80.9,54.5,12.0,63.2,0.0,21.2,7.8,29.5,32.7,0.822,0.777,0,True
@synthetic_creator_0162,instagram,3450962,81459,1907,276266,70.4,39.5,17.0,65.0,35.1,58.9,3.0,16.3,13.3,0.457,0.562,1,True
@synthetic_creator_0163,snapchat,100141,4761,140,10553,66.4,22.4,34.9,49.1,18.7,52.0,5.1,23.6,36.9,0.744,0.877,1,True
@synthetic_creator_0164,instagram,733943,17869,256,70792,44.9,27.6,6.0,69.7,41.4,44.3,0.0,1.3,14.7,0.597,0.744,1,True
@synthetic_creator_0165,snapchat,90806,2937,152,34176,85.4,38.2,25.7,79.4,36.3,13.1,14.8,0.0,23.6,0.913,0.587,1,True
@synthetic_creator_0166,instagram,820679,20650,785,303437,100.0,39.8,34.1,68.6,37.3,14.8,1.9,15.3,18.3,0.839,0.745,0,True
@synthetic_creator_0167,instagram,425892,11300,398,140158,72.3,38.2,18.1,56.9,8.8,12.6,4.6,19.0,3.1,0.588,0.732,1,True
@synthetic_creator_0168,snapchat,222355,4989,291,20201,57.5,17.6,28.8,62.8,28.9,13.2,13.5,25.9,4.3,0.902,0.773,0,True
@synthetic_creator_0169,tiktok,255527,5413,144,64136,22.6,11.0,6.5,64.9,26.4,47.4,7.4,9.3,5.7,0.869,0.899,0,True
@synthetic_creator_0170,tiktok,122302,2729,148,14129,39.1,24.9,7.1,68.3,39.9,21.3,3.0,16.9,13.9,0.92,0.703,1,True
@synthetic_creator_0171,instagram,458303,9189,422,82006,49.7,33.3,4.5,81.6,49.8,23.3,0.0,16.6,28.5,0.648,0.736,1,True
@synthetic_creator_0172,instagram,155440,3034,171,22302,41.6,18.2,14.6,69.1,33.0,36.6,13.7,13.7,15.2,0.71,0.715,1,True
@synthetic_creator_0173,instagram,61652,8498,470,20969,54.6,30.4,6.8,44.0,4.5,0.0,10.8,14.3,9.3,0.847,0.674,0,True
@synthetic_creator_0174,tiktok,57900,1894,112,5822,99.5,38.9,13.1,56.6,32.2,25.8,4.8,6.5,3.2,0.73,0.72,1,True
@synthetic_creator_0175,instagram,330085,35342,586,91157,86.2,45.2,20.2,67.5,82.2,8.5,0.0,17.8,9.5,0.831,0.796,1,True
@synthetic_creator_0176,instagram,1784965,73460,3658,703924,51.0,20.5,16.6,81.9,62.9,20.6,10.1,17.0,41.1,0.618,0.352,0,True
@synthetic_creator_0177,instagram,325133,11388,571,94441,24.8,13.1,9.3,84.5,0.0,16.2,14.8,10.6,15.5,0.814,0.801,0,True
@synthetic_creator_0178,snapchat,232729,5345,225,18090,88.4,32.6,35.0,91.6,31.3,15.4,11.0,21.7,5.3,0.807,0.561,1,True
@synthetic_creator_0179,youtube,378129,2293,54,139055,53.8,36.4,12.3,67.0,48.6,28.4,26.4,25.3,19.6,0.661,0.918,0,True
@synthetic_creator_0180,instagram,1286199,40426,2355,353804,11.8,7.8,1.7,76.4,26.4,28.3,17.0,21.8,2.0,0.822,0.952,0,True
